state,percent
Alaska,12.6
Maine,16.6
North Carolina,13.3
Missouri,14.5
Pennsylvania,14.1
Michigan,14.2
Nebraska,11.8
Oregon,14
Wyoming,12.8
California,10.4
Mississippi,16.5
Connecticut,10.8
Texas,11.4
Idaho,13.5
Maryland,11.4
New Mexico,15.8
Alabama,16.3
Tennessee,15.4
Vermont,14.5
Nevada,12.5
West Virginia,19.1
Oklahoma,16.3
Wisconsin,11.6
Puerto Rico,21.3
Kansas,13.7
Virginia,12
North Dakota,10.9
New Jersey,10.2
Ohio,14.1
South Carolina,14.4
Georgia,12.1
Colorado,10.7
Hawaii,11.6
South Dakota,12.1
Indiana,13.6
Kentucky,17.4
Louisiana,15.4
Washington,12.6
Illinois,11.1
Iowa,11.7
New Hampshire,13
Rhode Island,14.1
Arkansas,17.7
Delaware,13.2
Minnesota,11
Montana,13.4
Arizona,13.3
Florida,13.5
Massachusetts,11.6
District of Columbia,11.6
Utah,9.6
New York,11.4